7563,0,28,0,3,2,2,5,3,17,1,85,150,0,2,44,1,4
4032,1,365,1,1,1,1,11,0,18,1,43,150,0,15,43,0,3
7563,0,14,0,3,2,2,4,5,18,1,85,150,0,51,43,0,4
967,1,300,1,1,1,2,3,3,16,1,63,150,0,2,44,1,0
7563,1,14,0,0,1,1,11,5,11,1,168,150,0,7,44,1,3
1180,1,120,1,0,0,1,8,0,14,0,80,150,0,2,39,1,4
1966,0,1460,1,1,1,2,4,5,14,1,83,150,0,2,44,1,3
7563,0,30,0,0,0,1,6,2,12,1,85,150,0,54,43,0,4
1367,1,120,1,1,1,1,5,2,17,1,116,150,0,46,39,1,3
2194,0,60,1,1,1,1,5,3,15,1,85,150,0,18,44,1,0
379,1,1095,1,2,0,1,6,2,18,1,63,150,0,54,39,1,0
7563,0,120,0,1,1,0,11,5,17,1,85,150,0,18,43,0,0
7563,0,60,0,0,0,2,6,5,15,1,85,150,0,2,43,0,4
1308,1,730,1,1,1,2,11,2,18,1,40,150,0,2,43,0,3
7563,0,800,0,0,1,1,3,2,11,1,85,150,0,18,43,0,4
7563,0,120,0,0,0,2,1,4,9,1,85,150,0,2,44,1,4
546,0,90,1,2,0,1,11,5,18,1,85,150,0,37,44,1,0
7563,0,14,0,0,1,2,8,4,12,1,85,150,0,31,43,0,4
7563,0,30,0,0,0,2,4,0,14,1,85,150,0,2,44,1,4
4679,1,1095,1,0,1,2,10,5,12,1,16,150,0,53,43,0,3
5190,0,1825,1,1,1,2,9,3,14,1,85,150,0,2,44,1,3
5993,1,60,1,2,0,1,0,0,17,0,148,92,1,2,44,1,4
4689,1,300,1,0,1,2,1,1,13,0,168,12,1,2,44,1,4
7563,0,21,0,0,1,1,8,6,15,1,85,150,0,2,43,0,4
7563,0,90,0,0,0,1,10,6,9,1,85,150,0,18,44,1,4
6937,1,4380,1,1,1,1,10,2,15,1,56,150,0,15,44,1,3
7228,0,1825,1,1,1,2,4,6,18,1,83,150,0,2,43,0,0
7563,0,1460,0,0,0,1,4,3,12,1,85,150,0,51,43,0,4
6746,1,730,1,2,0,1,3,6,18,1,5,150,0,25,25,1,0
283,1,730,1,1,1,1,2,3,14,0,143,94,1,54,17,1,0
1553,0,365,1,2,0,3,0,0,18,1,85,150,0,51,43,0,0
7563,0,30,0,0,1,1,5,3,13,1,85,150,0,37,44,1,4
179,0,2920,1,1,1,1,11,1,14,1,84,150,0,7,44,1,4
7750,1,1095,1,1,1,2,1,2,11,0,193,14,1,41,43,0,4
4791,0,365,1,0,1,1,7,6,12,1,85,150,0,7,43,0,0
4715,0,60,1,1,1,0,10,3,18,1,84,150,0,18,44,1,0
7563,1,365,0,0,0,3,0,4,0,1,195,150,0,46,1,1,3
7563,0,30,0,0,1,1,7,0,16,1,85,150,0,54,15,1,1
309,1,3285,1,2,0,2,9,2,15,0,208,150,0,30,43,0,1
7563,0,14,0,3,2,2,4,2,16,1,85,150,0,18,43,0,4
7563,1,730,0,1,1,1,10,3,12,1,193,150,0,54,12,1,4
502,1,30,1,0,1,1,4,5,13,1,134,150,0,49,43,0,4
7563,0,730,0,0,0,1,4,4,12,1,85,150,0,37,43,0,4
1175,1,730,1,0,1,1,7,6,14,0,88,150,0,7,44,1,3
7262,1,4380,1,1,1,1,4,3,16,1,230,150,0,2,39,1,2
6498,1,90,1,2,0,0,9,0,16,1,14,150,0,54,43,0,0
817,1,730,1,1,1,1,6,5,13,1,63,150,0,2,12,1,0
7563,0,14,0,0,0,2,5,4,17,1,85,150,0,51,43,0,4
6755,0,1095,1,1,1,1,7,0,15,1,85,150,0,26,44,1,4
7563,0,30,0,0,0,1,9,1,11,1,85,150,0,2,43,0,2
502,1,1095,1,1,1,2,5,0,19,1,168,150,0,14,44,1,3
7563,0,14,0,0,1,1,6,1,16,1,85,150,0,37,43,0,4
7563,0,7,0,0,1,2,0,4,14,1,85,150,0,7,44,1,4
5592,1,90,1,1,1,2,9,5,17,0,193,150,0,53,43,0,3
1305,1,180,1,1,1,1,3,1,18,0,137,100,1,2,43,0,3
2668,0,365,1,1,1,2,7,6,13,1,85,150,0,2,43,0,0
1321,1,4745,1,1,1,1,2,1,12,1,163,150,0,2,44,1,4
2993,1,730,1,1,1,2,3,3,12,1,168,150,0,2,44,1,4
2909,1,1095,1,0,1,2,8,5,15,1,23,150,0,40,44,1,3
7563,0,730,0,2,0,2,11,6,19,1,85,150,0,51,43,0,4
4643,1,240,1,1,1,2,9,1,17,1,172,150,0,54,12,1,4
2614,1,3650,1,2,0,2,5,0,16,1,182,150,0,2,39,1,4
7743,1,730,1,1,1,2,8,2,18,1,63,150,0,15,43,0,3
7243,0,150,1,1,1,3,1,3,18,1,85,150,0,18,44,1,0
4274,1,2190,1,2,0,2,10,4,13,1,40,150,0,53,43,0,3
6338,1,730,1,2,0,0,9,3,15,1,124,150,0,49,44,1,4
7563,0,2920,0,2,0,1,8,3,9,1,125,150,0,51,43,0,4
6872,1,2555,1,1,1,1,8,4,19,1,57,150,0,20,43,0,3
6480,1,365,1,2,0,2,8,2,16,1,131,150,0,2,39,1,0
253,1,730,1,1,1,0,11,5,17,1,16,150,0,2,12,1,3
6473,0,3650,1,1,1,2,8,1,13,1,70,150,0,54,1,1,3
7563,0,60,0,1,1,2,6,2,17,1,85,150,0,37,43,0,0
7563,0,60,0,0,1,1,6,0,15,1,85,150,0,2,44,1,2
7563,0,730,0,2,0,2,9,6,9,1,194,150,0,35,43,0,1
5859,0,365,1,2,0,1,3,4,15,1,85,150,0,50,43,0,0
7563,1,2555,0,0,0,1,2,6,17,0,168,30,1,15,43,0,2
1857,0,365,1,1,1,2,0,0,0,1,183,150,0,7,43,0,3
4714,1,365,1,2,0,1,0,2,16,1,124,150,0,54,43,0,3
4886,0,60,1,1,1,2,11,3,15,1,85,150,0,37,44,1,0
7563,1,60,0,0,0,1,4,5,16,0,104,150,0,2,39,1,4
4255,1,730,1,2,0,2,11,2,14,1,168,150,0,27,44,1,4
7563,1,30,0,0,1,2,5,4,16,0,131,114,1,3,44,1,4
857,0,60,1,0,0,2,6,2,11,1,85,150,0,21,43,0,2
7563,0,14,0,0,0,1,9,5,13,1,85,150,0,2,43,0,4
3291,1,240,1,1,1,1,11,3,17,1,16,150,0,54,2,1,4
6444,1,1825,1,1,1,2,8,4,12,1,104,150,0,2,12,1,0
7563,0,21,0,0,1,2,5,1,14,1,85,150,0,2,43,0,4
7362,0,60,1,1,1,0,11,5,17,1,85,150,0,37,44,1,0
2066,1,365,1,2,0,1,2,2,18,1,111,150,0,54,39,1,3
7563,1,60,0,0,0,1,4,6,11,1,131,150,0,25,43,0,4
2521,1,1825,1,2,0,1,7,5,15,1,168,150,0,27,44,1,0
7563,0,60,0,2,0,2,2,0,17,1,84,150,0,18,43,0,0
6376,1,3285,1,0,0,0,9,0,11,0,131,113,1,40,44,1,3
1580,1,1095,1,2,0,2,0,5,14,1,168,150,0,16,44,1,2
7563,1,120,0,1,1,2,0,5,11,1,131,150,0,2,44,1,4
5734,1,60,1,2,0,2,7,0,17,0,58,40,1,2,44,1,0
593,1,3285,1,2,0,1,5,6,13,1,22,150,0,54,12,1,3
2829,1,180,1,1,1,2,9,1,11,1,41,150,0,54,43,0,4
7563,1,730,0,2,0,0,11,0,16,1,43,150,0,40,44,1,0
7563,0,1460,0,3,2,2,4,4,9,1,84,150,0,2,44,1,4
6926,1,1095,1,1,1,1,9,1,16,1,23,150,0,44,43,0,4
7207,1,150,1,2,0,1,1,1,18,1,43,150,0,2,44,1,4
4744,1,730,1,2,0,0,9,5,15,0,53,46,1,15,43,0,0
7563,0,730,0,1,1,2,11,0,19,1,85,150,0,5,44,1,4
5556,0,60,1,2,0,1,7,3,11,1,85,150,0,2,44,1,0
1360,0,2190,1,1,1,2,7,0,11,0,85,150,0,2,43,0,3
2927,0,90,1,2,0,2,11,5,17,1,85,150,0,48,44,1,0
3366,0,365,1,2,0,1,8,6,18,1,85,150,0,37,44,1,2
7425,1,120,1,1,1,2,4,0,17,1,168,150,0,2,44,1,4
7563,1,60,0,0,0,2,9,2,8,1,16,150,0,15,44,1,4
1695,1,180,1,0,0,0,9,6,15,0,104,150,0,15,1,1,4
7563,0,365,0,0,1,2,5,4,9,1,84,150,0,2,43,0,4
1786,1,1825,1,2,0,1,3,2,17,0,143,158,1,2,44,1,3
7746,1,730,1,1,1,1,5,2,10,1,168,150,0,15,44,1,2
5671,0,60,1,2,0,2,8,5,17,1,85,150,0,18,43,0,0
1258,1,3285,1,0,1,2,4,5,13,1,168,150,0,40,44,1,3
5136,0,365,1,1,1,1,1,2,15,1,85,150,0,2,43,0,4
7406,1,365,1,1,1,1,7,5,20,1,1,150,0,2,44,1,0
5367,1,730,1,1,1,2,10,6,11,1,53,150,0,40,43,0,3
7563,0,14,0,3,2,2,8,3,5,1,85,150,0,37,43,0,4
1580,1,730,1,2,0,2,11,1,18,1,131,150,0,2,44,1,3
6637,1,365,1,1,1,1,5,6,16,0,14,150,0,27,1,1,3
2423,0,120,1,1,1,2,10,0,18,1,85,150,0,37,43,0,0
